district,month,no2_mean,ndvi,ndbi,pressure,precip,wind_speed,temp_c
South Delhi,5,9.091024701439014e-05,0.42049729908521694,-0.05632386328214899,97847.34200475209,0.07307036211542224,0.8538317003286356,29.395446596250565
South East Delhi,5,0.00011779851593146316,0.32674195918806,-0.051958902222942645,98059.56755877376,0.07326192688590802,0.8283687615543228,29.35125321711996
South West Delhi,5,6.871726252339945e-05,0.2587863489528186,0.04159739756076723,98161.80246784021,0.07417125454728393,0.766891683738432,29.566181467110823
West Delhi,5,8.770057104676714e-05,0.26073023443900545,-0.0075807059344987675,98170.87940602256,0.06858414232351595,0.756170204324742,29.37636336467648
Central Delhi,6,7.431196403004069e-05,0.32495231969515975,-0.05385647472114904,97664.96870751186,0.09189332052245086,1.0062987458158683,31.295072505686278
East Delhi,6,9.920335487380666e-05,0.32258918351609467,-0.06093295355062462,97654.76623518318,0.09879429607591957,1.0365906841960943,31.291593259614103
New Delhi,6,8.156491038151564e-05,0.3990105057806902,-0.062255205190442926,97583.81833767361,0.08239099816650096,1.0398080643778214,31.399996722426522
North Delhi,6,5.250756104315111e-05,0.3033490682970769,-0.008107957109632587,97679.55305577695,0.08070545922274884,0.9540628333963428,31.360439993286604
North East Delhi,6,6.924188604742849e-05,0.23961178014631243,-0.015228901263271269,97666.69188810511,0.09754550544039334,1.0151523184272722,31.27944797651668
North West Delhi,6,5.712017117115179e-05,0.25827562673181814,0.015170190201441261,97701.1984113087,0.07275582184601652,0.9771072145723637,31.486849618962992
Shahdara,6,8.111041726618683e-05,0.19859683123405342,0.008580620781019647,97669.31099733092,0.09993384387446327,1.0188503248539211,31.267952145965637
South Delhi,6,7.490841659634582e-05,0.4563547522969784,-0.08489746216548574,97391.01590631984,0.08449594323698681,1.1023643056853418,31.351773755303725
South East Delhi,6,0.00010131494714373058,0.33364357965510494,-0.05475915409333139,97598.6680499752,0.09386134335229315,1.0871362748318079,31.36602762373667
South West Delhi,6,5.5095278493842184e-05,0.30336000668597085,0.008177445935800293,97701.96373634246,0.069955544783518,0.9999569171815343,31.57593366171602
West Delhi,6,6.48414985761176e-05,0.26829073271455167,-0.008764286801172541,97708.63608063558,0.07415632459970473,0.9829562812993984,31.480127330139112
Central Delhi,7,7.540835278026798e-05,0.29424041776933635,-0.06059871282365828,97645.6042958531,0.27391934878978014,1.3610873269811696,29.01710233965349
East Delhi,7,7.895720336403793e-05,0.28256807666293654,-0.06323757772023389,97637.85966807738,0.27751652673739813,1.353450486877957,28.98454034103048
New Delhi,7,6.708746881535454e-05,0.410158760352132,-0.08745680810843479,97560.04778105162,0.2819603246066712,1.2916396462285824,29.086356385265276
