district,year,month,no2_mean,ndvi,ndbi,pressure,precip,wind_speed,temp_c
North Delhi,2021,10,8.889755714042697e-05,0.37557056342613876,-0.06184752056118252,98479.94710616552,0.07014348336910473,1.2260946297490734,24.626432193981998
North East Delhi,2021,10,0.0001391396463845218,0.249999986208207,-0.03388157579453766,98460.62131176639,0.07269426045837939,1.2540687362717327,24.5240312226843
North West Delhi,2021,10,9.931506785138198e-05,0.30370563582617666,-0.050394643827361384,98500.20497004048,0.06628489849176906,1.192696976403942,24.72608370499836
Shahdara,2021,10,0.00017560424340231357,0.22963697200765182,-0.029434877037420343,98464.74680666713,0.07300517972935475,1.258931043146097,24.506400444974588
South Delhi,2021,10,0.00012474509897405088,0.5504808940432874,-0.16420824594961822,98185.36418668553,0.06632512623602638,1.2018291598857678,24.52728101018181
South East Delhi,2021,10,0.00019345271132087055,0.3841798081222814,-0.1064768960762264,98400.81011679747,0.06932274600606547,1.2319725426666936,24.568716962729354
South West Delhi,2021,10,8.072602171557926e-05,0.3456931212551296,-0.035036907125294406,98507.75440241318,0.06126874332379466,1.1156530602440624,24.92243103846505
West Delhi,2021,10,0.00012408584261063701,0.2973604295930425,-0.054263052912724784,98508.60900729251,0.0668193876361765,1.1978541374744294,24.72111155855424
Central Delhi,2021,11,0.0002426520583823704,0.21761423838524188,-0.10022287465234193,98900.97104012013,7.482201576151123e-05,0.9788474814988812,18.998764774717188
East Delhi,2021,11,0.00028529822018012805,0.2211292589154587,-0.11907574378712703,98891.93974063099,6.863802244755013e-05,0.9792778262177894,18.929129470299074
New Delhi,2021,11,0.0002268159339683231,0.3156248725461764,-0.13638114437840188,98813.73590951906,5.338954284580273e-05,0.902085603879878,19.18895592367113
North Delhi,2021,11,0.00015129181627796667,0.20636497147915964,-0.04395836622281918,98920.74043246775,7.834964344995462e-05,0.9791321397115696,18.993329835657732
North East Delhi,2021,11,0.00020819974267864352,0.157999879923731,-0.06390413528845948,98900.80766859662,7.595715355100445e-05,0.9964796649147369,18.903736701315154
North West Delhi,2021,11,0.00016816907808725817,0.197786395777102,-0.06682014629448471,98940.33100380148,6.144165437601047e-05,0.9135721571864938,19.183162452434715
Shahdara,2021,11,0.00025760310595922595,0.133559863849607,-0.05871120968251978,98905.14185346087,7.615553869559112e-05,1.0037795709679889,18.876423526181668
South Delhi,2021,11,0.0001582446203190204,0.40389311675414125,-0.15735006019228473,98615.5483070422,3.752984450612914e-05,0.8690337945359585,19.175149884571056
South East Delhi,2021,11,0.00026236669750071093,0.26107944902494984,-0.111771434824897,98837.5664143105,4.69868150744901e-05,0.9095371996609247,19.096096821134097
South West Delhi,2021,11,0.00011855816137042803,0.28158033592725223,-0.12468923600106295,98946.32889431156,4.442144537228849e-05,0.8079518725705208,19.476992258135624
West Delhi,2021,11,0.00019973026004858725,0.17291563515547848,-0.07806457803095258,98948.96849642716,6.180236688821207e-05,0.9173997688359998,19.182227938944266
Central Delhi,2021,12,0.00020441034524673114,0.22806651159753644,-0.09269442207445151,99310.07911797734,0.012273884096042477,1.2037564078075713,14.57646195216779
East Delhi,2021,12,0.0002549723546203211,0.20009926513406825,-0.11234279172526623,99299.54562397166,0.012957369107530562,1.2214931277604568,14.551143976932224
New Delhi,2021,12,0.00017675799166248248,0.32227352331467113,-0.10403310014096392,99221.51033762119,0.013632601056167598,1.1528529584843699,14.634796704615383
North Delhi,2021,12,0.0001467142506863728,0.3163002066599317,-0.09265170282124928,99332.27721762983,0.010210221354399843,1.1665511053990385,14.507461615271382
North East Delhi,2021,12,0.00017910365612731078,0.1764434411690595,-0.07407010407961877,99309.11921616866,0.012382890710239396,1.2207906452447947,14.534473600227273
North West Delhi,2021,12,0.0001529262136803767,0.3007163653137592,-0.10849635376930288,99352.8721673532,0.01086764476464587,1.112705567567511,14.585663657635735
Shahdara,2021,12,0.00022142087338110876,0.1282774807730931,-0.059472041574304677,99313.21926099998,0.012374575257918033,1.2283114174872496,14.52485590741071
